cpus,mem,npmem,recvTps,sendTps,acceptTps,serializedBuffer
100,2.93E+08,5.31E+06,1723917,1723917,0,423000
100,2.90E+08,5.32E+06,1725391,1725389,0,409800
100,2.93E+08,5.34E+06,1726631,1726628,0,422600
100,2.93E+08,5.33E+06,1731490,1731490,0,422950
100,2.98E+08,5.32E+06,1742524,1742526,0,433150
100,2.94E+08,5.38E+06,1742834,1742834,0,423000
100,2.89E+08,5.40E+06,1743791,1743791,0,409000
100,2.93E+08,5.36E+06,1745482,1745484,0,422950
100,2.90E+08,5.33E+06,1752261,1752261,0,409800
100,2.79E+08,5.68E+06,1752734,1752734,0,378600
100,2.93E+08,5.30E+06,1758334,1758334,0,422350
100,2.93E+08,5.36E+06,1763628,1763628,0,423000
100,2.91E+08,5.30E+06,1766428,1766427,0,413200
100,2.90E+08,5.32E+06,1768734,1768731,0,409800
100,2.91E+08,5.32E+06,1771945,1771945,0,413250
100,2.98E+08,5.31E+06,1772090,1772090,0,433150
100,2.93E+08,5.30E+06,1776525,1776525,0,423000
100,2.93E+08,5.31E+06,1778072,1778072,0,422600
100,2.90E+08,5.31E+06,1778522,1778521,0,409800
100,2.98E+08,5.34E+06,1779357,1779356,0,433150
100,2.93E+08,5.33E+06,1780937,1780928,0,422950
100,2.97E+08,5.31E+06,1789537,1789537,0,432950
100,2.90E+08,5.32E+06,1790468,1790468,0,410800
100,2.93E+08,5.32E+06,1791360,1791361,0,422350
100,2.97E+08,5.32E+06,1791443,1791443,0,432950
100,2.98E+08,5.31E+06,1791814,1791816,0,433150
100,2.98E+08,5.31E+06,1792098,1792098,0,432950
100,2.90E+08,5.31E+06,1792260,1792262,0,409800
100,2.90E+08,5.31E+06,1796459,1796459,0,413050
100,2.89E+08,5.36E+06,1796843,1796841,0,409000
100,2.97E+08,5.32E+06,1797411,1797411,0,432950
100,2.93E+08,5.30E+06,1801335,1801331,0,422600
100,2.98E+08,5.30E+06,1803503,1803503,0,432950
100,2.90E+08,5.31E+06,1810636,1810635,0,410800
100,2.98E+08,5.31E+06,1812889,1812891,0,432950
100,2.90E+08,5.30E+06,1815556,1815556,0,409800
100,2.90E+08,5.31E+06,1816873,1816873,0,413050
100,2.94E+08,5.30E+06,1817703,1817702,0,423000
100,2.93E+08,5.35E+06,1820746,1820742,0,423000
100,2.98E+08,5.39E+06,1827862,1827862,0,433150
100,2.98E+08,5.31E+06,1831300,1831301,0,433150
100,2.93E+08,5.32E+06,1837127,1837126,0,422100
100,2.90E+08,5.33E+06,1837604,1837603,0,413150
100,2.90E+08,5.30E+06,1844036,1844036,0,409950
100,2.97E+08,5.37E+06,1847044,1847043,0,432950
100,2.94E+08,5.37E+06,1847074,1847074,0,423000
100,2.95E+08,5.40E+06,1847378,1847379,0,425800
100,2.91E+08,5.43E+06,1847728,1847728,0,413250
100,2.93E+08,5.32E+06,1850887,1850883,0,423000
100,2.91E+08,5.30E+06,1851275,1851275,0,413250
100,2.97E+08,5.30E+06,1853781,1853781,0,429900
100,2.91E+08,5.33E+06,1853824,1853824,0,413250
100,2.89E+08,5.32E+06,1855573,1855573,0,409000
100,2.93E+08,5.31E+06,1856637,1856637,0,423000
100,2.93E+08,5.30E+06,1856734,1856734,0,423000
100,2.94E+08,5.34E+06,1857801,1857801,0,423000
100,2.98E+08,5.36E+06,1861420,1861420,0,432950
100,2.90E+08,5.39E+06,1863003,1863004,0,409950
100,2.89E+08,5.31E+06,1863783,1863783,0,409000
100,2.91E+08,5.31E+06,1863852,1863851,0,413200
100,2.93E+08,5.34E+06,1865073,1865073,0,422900
100,2.90E+08,5.31E+06,1867110,1867110,0,413050
100,2.97E+08,5.31E+06,1867588,1867588,0,432950
100,2.93E+08,5.30E+06,1870947,1870948,0,422350
100,2.93E+08,5.33E+06,1873123,1873123,0,422100
100,2.90E+08,5.31E+06,1873364,1873362,0,409750
100,2.97E+08,5.34E+06,1874036,1874036,0,432950
100,2.90E+08,5.30E+06,1874494,1874495,0,413150
100,2.90E+08,5.30E+06,1876649,1876649,0,413050
100,2.90E+08,5.34E+06,1880182,1880182,0,410800
100,2.87E+08,5.43E+06,1881048,1881045,0,401250
100,2.94E+08,5.31E+06,1887473,1887473,0,423000
100,2.94E+08,5.35E+06,1891936,1891936,0,423000
100,2.89E+08,5.41E+06,1900711,1900712,0,409000
100,2.90E+08,5.30E+06,1900763,1900763,0,409800
100,2.93E+08,5.33E+06,1901647,1901646,0,422950
100,2.93E+08,5.36E+06,1902512,1902514,0,422900
100,2.91E+08,5.33E+06,1904491,1904491,0,413250
100,2.93E+08,5.36E+06,1905120,1905119,0,423000
100,2.93E+08,5.31E+06,1906255,1906256,0,422100
100,2.91E+08,5.37E+06,1912621,1912622,0,413200
100,2.98E+08,5.33E+06,1919553,1919553,0,432950
100,2.90E+08,5.34E+06,1920960,1920960,0,409950
100,2.93E+08,5.32E+06,1921677,1921677,0,423000
100,2.97E+08,5.33E+06,1926435,1926435,0,429900
100,2.90E+08,5.31E+06,1930303,1930296,0,413150
100,2.90E+08,5.31E+06,1930833,1930829,0,413150
100,2.90E+08,5.33E+06,1931882,1931882,0,409800
100,2.94E+08,5.34E+06,1933825,1933825,0,423000
100,2.90E+08,5.31E+06,1934341,1934342,0,413150
100,2.91E+08,5.35E+06,1934372,1934372,0,413200
100,2.94E+08,5.32E+06,1934822,1934822,0,423000
100,2.93E+08,5.30E+06,1938414,1938414,0,422350
100,2.90E+08,5.30E+06,1939138,1939137,0,409950
100,2.91E+08,5.34E+06,1939778,1939778,0,413250
100,2.90E+08,5.34E+06,1945319,1945319,0,413050
100,2.94E+08,5.30E+06,1946394,1946394,0,423000
100,2.90E+08,5.32E+06,1948216,1948218,0,409950
100,2.90E+08,5.46E+06,1950025,1950024,0,409950
100,2.90E+08,5.40E+06,1950366,1950366,0,413050
100,2.93E+08,5.32E+06,1950738,1950738,0,423000
100,2.90E+08,5.31E+06,1950986,1950986,0,409950
100,2.90E+08,5.33E+06,1954132,1954132,0,409950
100,2.93E+08,5.31E+06,1954591,1954593,0,423000
100,2.98E+08,5.31E+06,1954965,1954965,0,433150
100,2.93E+08,5.30E+06,1958051,1958051,0,422900
100,2.93E+08,5.30E+06,1961305,1961305,0,422950
100,2.90E+08,5.34E+06,1961438,1961437,0,409950
100,2.93E+08,5.31E+06,1961794,1961794,0,422900
100,2.90E+08,5.32E+06,1963844,1963845,0,409950
100,2.93E+08,5.30E+06,1966540,1966541,0,422350
100,2.90E+08,5.33E+06,1970949,1970949,0,409800
100,2.93E+08,5.33E+06,1972435,1972436,0,423000
100,2.93E+08,5.38E+06,1974105,1974107,0,422900
100,2.90E+08,5.33E+06,1977073,1977073,0,409800
100,2.93E+08,5.33E+06,1978757,1978757,0,423000
100,2.89E+08,5.43E+06,1981078,1981079,0,409000
100,2.90E+08,5.31E+06,1981808,1981808,0,409800
100,2.90E+08,5.30E+06,1984413,1984413,0,409750
100,2.93E+08,5.33E+06,1987927,1987917,0,423000
100,2.90E+08,5.31E+06,1988023,1988023,0,409950
100,2.93E+08,5.30E+06,1988167,1988167,0,422900
100,2.89E+08,5.36E+06,1989306,1989306,0,409000
100,2.93E+08,5.30E+06,1991097,1991100,0,423000
100,2.93E+08,5.32E+06,1992388,1992388,0,422900
100,2.91E+08,5.32E+06,1997236,1997236,0,414200
100,2.98E+08,5.30E+06,2002414,2002413,0,433150
100,2.89E+08,5.32E+06,2004249,2004250,0,409000
100,2.94E+08,5.34E+06,2004961,2004961,0,423000
100,2.90E+08,5.30E+06,2006201,2006201,0,413150
100,2.91E+08,5.30E+06,2009039,2009040,0,413200
100,2.93E+08,5.31E+06,2014821,2014821,0,423000
100,2.90E+08,5.30E+06,2016413,2016413,0,413050
100,2.90E+08,5.31E+06,2016551,2016551,0,413150
100,2.90E+08,5.34E+06,2017572,2017572,0,413150
100,2.90E+08,5.33E+06,2018992,2018992,0,413150
100,2.93E+08,5.33E+06,2019993,2019993,0,423000
100,2.98E+08,5.35E+06,2023935,2023935,0,432950
100,2.93E+08,5.30E+06,2024083,2024083,0,423000
100,2.93E+08,5.35E+06,2024185,2024185,0,422900
100,2.93E+08,5.30E+06,2024820,2024820,0,423000
100,2.93E+08,5.33E+06,2025497,2025495,0,422600
100,2.91E+08,5.31E+06,2025704,2025703,0,413250
100,2.91E+08,5.33E+06,2026732,2026732,0,413200
100,2.90E+08,5.32E+06,2034486,2034486,0,413150
100,2.93E+08,5.35E+06,2041182,2041182,0,422900
100,2.90E+08,5.30E+06,2043058,2043057,0,413050
100,2.91E+08,5.33E+06,2043091,2043090,0,413200
100,2.91E+08,5.44E+06,2043657,2043657,0,413250
100,2.90E+08,5.37E+06,2044821,2044820,0,413050
100,2.93E+08,5.31E+06,2048362,2048362,0,423000
100,2.93E+08,5.30E+06,2048537,2048539,0,423000
100,2.98E+08,5.30E+06,2050161,2050160,0,433150
100,2.93E+08,5.30E+06,2051537,2051538,0,422350
100,2.93E+08,5.40E+06,2054029,2054029,0,422950
100,2.89E+08,5.30E+06,2057755,2057753,0,409400
100,2.93E+08,5.32E+06,2059538,2059538,0,422100
100,2.73E+08,5.60E+06,2061107,2061107,0,359400
100,2.90E+08,5.33E+06,2063136,2063140,0,409950
100,2.98E+08,5.32E+06,2064503,2064503,0,433150
100,2.98E+08,5.31E+06,2064573,2064573,0,432950
100,2.93E+08,5.31E+06,2066349,2066349,0,422350
100,2.93E+08,5.33E+06,2067721,2067721,0,422950
100,2.90E+08,5.32E+06,2068805,2068805,0,409800
100,2.94E+08,5.38E+06,2069184,2069184,0,423000
100,2.93E+08,5.32E+06,2072434,2072434,0,422350
100,2.98E+08,5.30E+06,2073731,2073731,0,433150
100,2.90E+08,5.30E+06,2076173,2076174,0,413150
100,2.94E+08,5.33E+06,2079878,2079872,0,423000
100,2.90E+08,5.31E+06,2079896,2079897,0,413150
100,2.91E+08,5.31E+06,2084498,2084498,0,414200
100,2.89E+08,5.30E+06,2084642,2084639,0,409000
100,2.90E+08,5.33E+06,2086372,2086371,0,413150
100,2.93E+08,5.30E+06,2087108,2087108,0,422900
100,2.93E+08,5.30E+06,2087159,2087158,0,423000
100,2.90E+08,5.33E+06,2087564,2087565,0,409950
100,2.94E+08,5.34E+06,2090316,2090316,0,424050
100,2.93E+08,5.30E+06,2091870,2091870,0,422350
100,2.93E+08,5.33E+06,2093056,2093056,0,422900
100,2.97E+08,5.39E+06,2094871,2094873,0,432950
100,2.93E+08,5.34E+06,2097712,2097712,0,422950
100,2.90E+08,5.30E+06,2101572,2101571,0,413150
100,2.98E+08,5.32E+06,2104564,2104564,0,433150
100,2.93E+08,5.30E+06,2105676,2105675,0,423000
100,2.89E+08,5.33E+06,2105939,2105938,0,409000
100,2.90E+08,5.34E+06,2106956,2106953,0,409950
100,2.93E+08,5.34E+06,2107034,2107034,0,422950
100,2.94E+08,5.31E+06,2108858,2108858,0,423000
100,2.90E+08,5.33E+06,2110022,2110022,0,409800
100,2.98E+08,5.30E+06,2111049,2111049,0,432950
100,2.93E+08,5.33E+06,2111398,2111398,0,422950
100,2.91E+08,5.33E+06,2112782,2112782,0,413200
100,2.89E+08,5.36E+06,2115802,2115799,0,409000
100,2.90E+08,5.32E+06,2117185,2117184,0,413050
100,2.90E+08,5.35E+06,2121351,2121348,0,409950
100,2.90E+08,5.31E+06,2122209,2122209,0,410800
100,2.89E+08,5.32E+06,2124102,2124102,0,409000
100,2.98E+08,5.32E+06,2124215,2124215,0,433150
100,2.91E+08,5.32E+06,2128965,2128965,0,413150
100,2.90E+08,5.31E+06,2129626,2129626,0,409950
100,2.94E+08,5.34E+06,2130646,2130645,0,424050
100,2.98E+08,5.30E+06,2131227,2131228,0,433150
100,2.90E+08,5.34E+06,2133372,2133370,0,413150
100,2.97E+08,5.30E+06,2135741,2135741,0,429900
100,2.89E+08,5.36E+06,2136801,2136801,0,409000
100,2.89E+08,5.41E+06,2137139,2137134,0,409400
100,2.90E+08,5.32E+06,2137283,2137283,0,409950
100,2.97E+08,5.32E+06,2137883,2137883,0,429900
100,2.90E+08,5.36E+06,2141423,2141422,0,409950
100,2.90E+08,5.33E+06,2142447,2142447,0,409950
100,2.93E+08,5.30E+06,2142811,2142811,0,423000
100,2.91E+08,5.32E+06,2144510,2144511,0,413250
100,2.91E+08,5.32E+06,2145108,2145106,0,413250
100,2.93E+08,5.34E+06,2145139,2145139,0,423000
100,2.91E+08,5.32E+06,2146857,2146856,0,413250
100,2.90E+08,5.33E+06,2147563,2147564,0,409800
100,2.90E+08,5.37E+06,2148189,2148189,0,409950
100,2.94E+08,5.41E+06,2148695,2148695,0,423000
100,2.93E+08,5.31E+06,2148881,2148881,0,422900
100,2.93E+08,5.30E+06,2151314,2151314,0,422600
100,2.98E+08,5.30E+06,2154509,2154507,0,432950
100,2.90E+08,5.33E+06,2156096,2156096,0,413150
100,2.90E+08,5.31E+06,2163069,2163069,0,409950
100,2.90E+08,5.31E+06,2165163,2165163,0,413150
100,2.94E+08,5.33E+06,2167077,2167078,0,424050
100,2.90E+08,5.31E+06,2167506,2167506,0,409800
100,2.89E+08,5.41E+06,2172400,2172399,0,409000
100,2.90E+08,5.31E+06,2174039,2174038,0,410800
100,2.98E+08,5.30E+06,2174377,2174375,0,433150
100,2.91E+08,5.34E+06,2176578,2176578,0,413200
100,2.90E+08,5.30E+06,2179512,2179511,0,413150
