cpus,mem,npmem,recvTps,sendTps,acceptTps,serializedBuffer
100,1.36E+08,1.78E+06,1125000,1125000,0,139300
100,1.36E+08,1.78E+06,1125000,1125000,0,139300
100,1.36E+08,1.78E+06,1125000,1125000,0,139300
100,1.36E+08,1.78E+06,1125000,1125000,0,139300
100,1.36E+08,1.78E+06,1125000,1125000,0,139300
100,1.36E+08,1.78E+06,1125000,1125000,0,139300
100,1.36E+08,1.79E+06,1125000,1125000,0,139300
100,1.36E+08,1.78E+06,1125000,1125000,0,139300
100,1.36E+08,1.78E+06,1125000,1125000,0,139550
100,1.36E+08,1.78E+06,1125000,1125000,0,139550
100,1.36E+08,1.78E+06,1125000,1125000,0,139550
100,1.36E+08,1.78E+06,1125000,1125000,0,139550
100,1.36E+08,1.78E+06,1125000,1125000,0,139550
100,1.36E+08,1.78E+06,1125000,1125000,0,139550
100,1.36E+08,1.78E+06,1125000,1125000,0,139550
100,1.36E+08,1.78E+06,1125000,1125000,0,139550
100,1.36E+08,1.79E+06,1125000,1125000,0,139550
100,1.36E+08,1.78E+06,1125000,1125000,0,139550
100,1.36E+08,1.78E+06,1125000,1125000,0,139550
100,1.36E+08,1.78E+06,1125000,1125000,0,139550
100,1.36E+08,1.78E+06,1125000,1125000,0,139550
100,1.36E+08,1.78E+06,1125000,1125000,0,139550
100,1.36E+08,1.78E+06,1125000,1125000,0,139550
100,1.36E+08,1.78E+06,1125000,1125000,0,139550
100,1.36E+08,1.78E+06,1125000,1125000,0,139550
100,1.36E+08,1.78E+06,1125000,1125000,0,139550
100,1.36E+08,1.78E+06,1125000,1125000,0,139550
100,1.36E+08,1.78E+06,1125000,1125000,0,139550
100,1.36E+08,1.78E+06,1125000,1125000,0,139550
100,1.36E+08,1.78E+06,1125000,1125000,0,139550
100,1.36E+08,1.78E+06,1125000,1125000,0,139550
100,1.36E+08,1.78E+06,1125000,1125000,0,139550
100,1.36E+08,1.78E+06,1125000,1125000,0,139550
100,1.36E+08,1.78E+06,1125000,1125000,0,139550
100,1.36E+08,1.78E+06,1125000,1125000,0,139550
100,1.36E+08,1.78E+06,1125000,1125000,0,139550
100,1.36E+08,1.78E+06,1125000,1125000,0,139550
100,1.36E+08,1.78E+06,1125000,1125000,0,139550
100,1.36E+08,1.78E+06,1125000,1125000,0,139550
100,1.36E+08,1.78E+06,1125000,1125000,0,139550
100,1.36E+08,1.78E+06,1125000,1125000,0,139550
100,1.36E+08,1.78E+06,1125000,1125000,0,139550
100,1.36E+08,1.81E+06,1125000,1125000,0,139550
100,1.36E+08,1.78E+06,1125000,1125000,0,139550
100,1.36E+08,1.78E+06,1125000,1125000,0,139550
100,1.36E+08,1.78E+06,1125000,1125000,0,139550
100,1.36E+08,1.78E+06,1125000,1125000,0,139550
100,1.36E+08,1.78E+06,1125000,1125000,0,139550
100,1.36E+08,1.78E+06,1125000,1125000,0,139550
100,1.36E+08,1.78E+06,1125000,1125000,0,139550
100,1.36E+08,1.78E+06,1125000,1125000,0,139550
100,1.36E+08,1.78E+06,1125000,1125000,0,139550
100,1.36E+08,1.78E+06,1125000,1125000,0,139550
