cpus,mem,npmem,recvTps,sendTps,acceptTps,serializedBuffer
13.7898,2.20E+08,3.76E+06,4831,83297,698,3900
12.1,2.20E+08,3.75E+06,4742,81029,666,3900
10.8001,2.20E+08,3.76E+06,4739,81524,635,3900
11.4065,2.20E+08,3.77E+06,4682,82607,580,3900
10.5342,2.20E+08,3.78E+06,4514,80757,520,3900
11.0099,2.20E+08,3.77E+06,4477,77274,503,3900
12.8646,2.20E+08,3.78E+06,4722,80339,597,3900
12.3621,2.20E+08,3.79E+06,4859,83977,671,3900
9.11071,2.20E+08,3.77E+06,4705,80694,604,3900
9.49713,2.20E+08,3.77E+06,4322,75454,561,3900
10.3666,2.20E+08,3.78E+06,4154,72138,536,3900
10.9186,2.20E+08,3.78E+06,4433,78011,572,3900
10.3905,2.20E+08,3.78E+06,4498,79364,582,3900
10.5218,2.20E+08,3.79E+06,4447,76025,565,3900
8.19448,2.20E+08,3.77E+06,4233,70826,535,3900
9.50005,2.20E+08,3.78E+06,4170,69282,514,3900
10.9238,2.20E+08,3.78E+06,4221,68846,477,3900
11.8267,2.20E+08,3.78E+06,4351,70727,519,3900
8.83923,2.20E+08,3.79E+06,4384,69091,529,3900
11.6663,2.20E+08,3.79E+06,4341,72622,434,3900
9.62353,2.20E+08,3.77E+06,4448,74290,498,3900
14.7012,2.20E+08,3.77E+06,4578,78992,598,3900
11.5816,2.20E+08,3.78E+06,4664,82229,663,3900
13.7923,2.20E+08,3.77E+06,4656,85096,667,3900
12.0904,2.20E+08,3.76E+06,4772,87687,714,3900
12.0991,2.20E+08,3.77E+06,4924,89335,750,3900
9.62373,2.20E+08,3.76E+06,4832,88238,750,3900
14.2836,2.20E+08,3.77E+06,4714,86123,698,3900
11.9015,2.20E+08,3.76E+06,4566,87038,702,3900
10.0096,2.20E+08,3.78E+06,4634,85559,668,3900
8.30931,2.20E+08,3.77E+06,4604,82754,646,3900
12.477,2.20E+08,3.77E+06,4514,80325,636,3900
10.6746,2.20E+08,3.76E+06,4629,78027,627,3900
8.97584,2.20E+08,3.76E+06,4452,74159,608,3900
10.8783,2.20E+08,3.77E+06,4700,75646,609,3900
10.1256,2.20E+08,3.78E+06,4504,70816,486,3900
11.0304,2.20E+08,3.78E+06,4601,71314,545,3900
11.1862,2.20E+08,3.79E+06,4645,73348,539,3900
